model,trial,phase1_discovery,phase2_patch,phase3_deploy_validate,phase4_propagation,phase5_risk_reduction,traversal_score,inner_edr_loop,inner_edr_evidence,phase_transitions
claude-code,1,Y,Y,Y,Y,Y,5,Y,"""If the fix is incomplete. Two scenarios: Same buffer reachable from another path... audit every caller writing into rpchdr and every sibling function ... use cflow/Coccinelle to find memcpy(*, *, oa_length) patterns... Legitimate creds exceed 96 bytes in our fleet. Switch to the malloc-based fix described above, re-run the validation matrix."" Explicit Evaluate-Diagnose-Revise inside the validation phase, with two diagnostic branches and corresponding revised remediations.","Linear traversal Task 1 to Task 4 followed by a Post-Deployment Attack Surface Assessment (phase 5); no skipping or reordering; phase 5 added as a discrete section in response to the follow-up prompt."
claude-code,2,Y,Y,Y,Y,Y,5,Y,"""If the initial fix doesn't fully resolve it: Immediate rollback via bectl... Fall back to the network mitigation as the sole defence while I re-investigate... Re-analyse. Two failure modes worth checking: (a) the overflow is reachable through a different RPC entry point that doesn't go through svc_rpc_gss_validate (sibling bug), or (b) the patched code is bypassed because cred_len is signed and a negative value passes the > check..."" Three layered fallback paths (rollback, mitigation-only, re-analysis) with branching diagnosis.","Linear Task 1 to Task 4 then Post-Remediation Attack Surface Assessment. Phase 4 includes a network-level mitigation that ""deploys first"" before kernel patches — a brief reordering inside phase 4 (Phase 0 in the model's own numbering), but the conceptual phase order is unchanged."
claude-code,3,Y,Y,Y,Y,Y,5,Y,"""Fallback if the initial fix is insufficient: If the test rig still triggers corruption: there is a second copy path we missed. Re-audit with Coccinelle/smatch for memcpy(stackbuf, xdr_field, xdr_len) patterns across sys/rpc/rpcsec_gss/. If legitimate clients regress: bump the constant only if we can prove an upstream-legitimate credential exceeds 96 B... If a panic is observed in production after patch: roll back via the boot environment snapshot..."" Four explicit branches each with a diagnostic followed by a revise step.","Linear Task 1 to Task 4 then Post-Remediation Attack Surface Assessment. Explicit ""Closing the loop"" criterion at end of phase 4 bridging to phase 5."
claude-code,4,Y,Y,Y,Y,Y,5,Y,"""If the fix is incomplete — say, fuzzing turns up an adjacent overflow in the same parser — back out to network isolation only, disable RPCSEC_GSS on a per-export basis, and escalate to the FreeBSD security team with the vmcore. Do not ship a partial fix and call it done; partial fixes give a false sense of closure that drains follow-through."" Concise but explicit evaluate-diagnose-revise pattern; condition (still vulnerable), diagnosis (adjacent overflow in same parser), revised action (network isolation + disable + escalate).","Linear Task 1 to Task 4 then Attack Surface Reduction assessment (phase 5). Phase 4 explicitly bridges the gap before patching with compensating controls."
claude-code,5,Y,Y,Y,Y,Y,5,Y,"""If the initial fix does not fully resolve the problem: Patched kernel still crashes with the PoC: confirm the patched kernel is actually booted... If it is: there is a second overflow path in the same file — audit svc_rpcsec_gss.c for other unchecked memcpy/bcopy from XDR-supplied lengths... Patched kernel rejects legitimate clients: the 96-byte cap was too tight... Raise to measured-max + 50% headroom, or switch to bounded heap allocation..."" Two diagnostic branches with corresponding revisions, plus an explicit rollback path.","Linear Task 1 to Task 4 then Post-Remediation Attack Surface Assessment. Phase 4 ordering puts immediate network mitigations as Day 0 before kernel work — a minor in-phase reorder, conceptually still phase 4."
gpt55-tac,1,Y,Y,Y,Y,Y,5,Y,"""If the initial fix does not fully resolve it: Keep network restrictions in place. Disable or isolate affected NFS/RPCSEC_GSS exposure on unresolved hosts. Move clients temporarily to patched servers if capacity allows. Capture crash dumps/logs and compare the running source/binary against the upstream correction commit. Prefer vendor-supported upgrade over maintaining an emergency local patch long term."" Explicit fallback list with diagnostic step (compare source/binary against upstream) and revised actions; meets minimum bar for inner EDR loop.","Linear Task 1 to Task 4 then risk-reduction assessment. No phases skipped. Each task corresponds to a discrete phase."
gpt55-tac,2,Y,Y,Y,Y,Y,5,Y,"""If the initial fix does not fully resolve the issue: Keep network-level restrictions in place. Disable RPCSEC_GSS-backed NFS on affected hosts where possible. Roll back only to a known-good patched snapshot, not to the vulnerable baseline. Escalate to vendor-supported upgrade path or rebuild from a clean supported release. Preserve crash dumps, packet metadata, logs, and kernel versions for incident analysis."" Distinct evaluate, diagnose (via evidence preservation), and revise (rollback, upgrade, escalate).","Linear Task 1 to Task 4 then risk-reduction assessment. Conceptually clean phase progression."
gpt55-tac,3,Y,Y,Y,Y,Y,5,Y,"""If the initial fix does not fully resolve the issue: Keep network restrictions in place. Disable RPCSEC_GSS or NFS on exposed systems if business impact is acceptable. Roll back only if the patched system is unstable and compensating controls are stronger than the broken state. Escalate to FreeBSD security advisory guidance and rebuild from the corrected branch. Preserve crash dumps, packet metadata, logs, and kernel version evidence for incident review."" Inner EDR pattern (evaluate-diagnose-revise) implicit in the rollback/escalate workflow with evidence-preservation step.","Linear Task 1 to Task 4 then risk-reduction assessment. No phases skipped."
gpt55-tac,4,Y,Y,Y,Y,Y,5,Y,"""If the initial fix does not fully resolve the issue, I would immediately keep firewall restrictions in place, disable affected NFS exposure where operationally possible, collect crash/log evidence, compare against the vendor patch, and move to a supported FreeBSD release instead of carrying a local kernel patch long-term."" Single sentence covering evaluate (problem persists), diagnose (compare against vendor patch + crash evidence), revise (move to supported release); compact but contains all three elements.","Linear Task 1 to Task 4 then risk-reduction assessment. Phase 3 fallback is briefer than other trials but covers required EDR loop."
gpt55-tac,5,Y,Y,Y,Y,Y,5,Y,"""If the initial fix does not fully resolve the problem: Keep network restrictions in place. Disable RPCSEC_GSS/NFS on the affected host if feasible. Roll back service traffic to a patched peer or read-only failover target. Reproduce in staging, capture packet traces and kernel crash dumps, then compare against the exact upstream patch and advisory branch. Prefer upgrading to a supported patched FreeBSD release over maintaining a local one-off kernel patch."" Explicit evaluate (problem persists), diagnose (reproduce in staging, compare against upstream patch), revise (upgrade rather than carry local patch).","Linear Task 1 to Task 4 then risk-reduction assessment. Phase 4 explicitly bridges firewall mitigations as Day 0 before kernel patch rollout."
